Title,URL,Scraped_At,Description,Cover_Image_URL,OS_Minimum,CPU_Minimum,RAM_Minimum,GPU_Minimum,Storage_Minimum,OS_Recommended,CPU_Recommended,RAM_Recommended,GPU_Recommended,Storage_Recommended
A Bastard's Tale,https://www.pcgamingwiki.com/wiki/A_Bastard%27s_Tale,2026-05-25T11:20:13.368476,N/A,https://thumbnails.pcgamingwiki.com/7/7d/A_Bastard%27s_Tale_cover.jpg/600px-A_Bastard%27s_Tale_cover.jpg,ME,"SSE2 support, including Intel Pentium 4, Pentium M, Core or Atom, AMD Athlon 64 or later",1 GB,256 MB of VRAM,68 MB,N/A,N/A,N/A,N/A,N/A
A Bewitching Revolution,https://www.pcgamingwiki.com/wiki/A_Bewitching_Revolution,2026-05-25T11:20:17.728742,N/A,https://thumbnails.pcgamingwiki.com/1/15/A_Bewitching_Revolution_cover.jpg/600px-A_Bewitching_Revolution_cover.jpg,7,Intel i5 Quad-Core,4 GB,Intel HD 4000,100 MB,N/A,N/A,N/A,N/A,N/A
A Bird Story,https://www.pcgamingwiki.com/wiki/A_Bird_Story,2026-05-25T11:20:21.994577,A Bird Story is a singleplayer bird's-eye view and scrolling adventure game in the Sigmund Corp. series.,https://thumbnails.pcgamingwiki.com/0/0a/A_Bird_Story_Cover.jpg/600px-A_Bird_Story_Cover.jpg,XP,Intel Pentium III 800 MHz,2 GB,DirectX 9.0 compatible,200 MB,N/A,N/A,N/A,N/A,N/A
A Blind Legend,https://www.pcgamingwiki.com/wiki/A_Blind_Legend,2026-05-25T11:20:28.876430,N/A,https://images.pcgamingwiki.com/8/8a/A_Blind_Legend_cover.jpg,XP SP2,Dual Core,1 GB,DirectX 9.0 compatibleShader model 2.0 support,450 MB,N/A,N/A,N/A,N/A,N/A
A Bloody Night,https://www.pcgamingwiki.com/wiki/A_Bloody_Night,2026-05-25T11:20:34.155525,N/A,https://thumbnails.pcgamingwiki.com/2/23/A_Bloody_Night_cover.jpg/600px-A_Bloody_Night_cover.jpg,7,Intel Core 2 Duo 2.4 GHz,2 GB,512 MB of VRAM,160 MB,N/A,N/A,N/A,N/A,N/A
A Bloody Party,https://www.pcgamingwiki.com/wiki/A_Bloody_Party,2026-05-25T11:20:39.970803,N/A,https://thumbnails.pcgamingwiki.com/7/73/A_Bloody_Party_cover.jpg/600px-A_Bloody_Party_cover.jpg,8,i5+,1 GB,DirectX or OpenGL compatible card,205 MB,N/A,N/A,N/A,N/A,N/A
A Book of Beasts and Buddies,https://www.pcgamingwiki.com/wiki/A_Book_of_Beasts_and_Buddies,2026-05-25T11:20:46.563730,N/A,https://thumbnails.pcgamingwiki.com/a/a9/A_Book_of_Beasts_and_Buddies_cover.jpg/600px-A_Book_of_Beasts_and_Buddies_cover.jpg,7,2.0GHz dualcore,80 MB,DirectX 10 compatible,80 MB,N/A,N/A,N/A,N/A,N/A
A Boy and His Beard,https://www.pcgamingwiki.com/wiki/A_Boy_and_His_Beard,2026-05-25T11:20:52.553324,N/A,https://thumbnails.pcgamingwiki.com/4/47/A_Boy_and_His_Beard_cover.jpg/600px-A_Boy_and_His_Beard_cover.jpg,7,Intel 2 GHz Intel Core 2 DuoAMD Athlon 64 x2 2.4 GHz,3 GB,Nvidia GeForce 7600GTAMD Radeon X1800,N/A,8,N/A,N/A,N/A,N/A
A Boy and His Blob,https://www.pcgamingwiki.com/wiki/A_Boy_and_His_Blob,2026-05-25T11:20:58.662199,A Boy and His Blob is a singleplayer side view platform and puzzle game in the A Boy and His Blob series.,https://thumbnails.pcgamingwiki.com/a/ae/A_Boy_and_His_Blob_-_cover.jpeg/600px-A_Boy_and_His_Blob_-_cover.jpeg,"7, 8",AMD Athlon 64 X2 4600+ 2.4 GHzIntel Pentium D 805 2.66 GHz,1 GB,Nvidia GeForce 9600 GTATI Radeon HD 4650512 MB of VRAMShader model 3.0 support,3 GB,N/A,AMD Athlon 7850 2.8 GHzIntel Core 2 Duo E7500 2.93 GHz,2 GB,N/A,N/A
A Boy and His Blob: Retro Collection,https://www.pcgamingwiki.com/wiki/A_Boy_and_His_Blob:_Retro_Collection,2026-05-25T11:21:04.352468,A Boy and His Blob: Retro Collection is a singleplayer side view and flip screen platform game in the A Boy and His Blob series.,https://images.pcgamingwiki.com/9/90/A_Boy_and_His_Blob_Retro_Collection_cover.jpg,10,Intel Core 2 Duo E7500,6 GB,Nvidia GeForce GTX 750DirectX 11 compatible,151.65 MB,N/A,AMD Phenom II X6 1035T 3.1 GHz,8 GB,Nvidia GeForce GTX 950AMD Radeon HD 7800 series,N/A
